ticket_id,customer_id,channel,category,subcategory,priority_hint,churn_risk_hint,subject,body,created_at
TKT-62268,CUST-2186,web,Account,Account > email change,high,high,Profile update failing,This is absolutely ridiculous! Someone changed my profile information without authorization. My phone number and address are different from what I set. I'm concerned about account security. Fix this NOW or there will be consequences! This is the last straw. I want my money back and I'm leaving,2026-03-25 16:07:23
TKT-77136,CUST-8770,chat,Feature Request,Feature Request > improvement suggestion,high,medium,Integration request: Slack,This is absolutely ridiculous! Please add bulk edit capabilities. Editing items one by one is incredibly time-consuming when you have hundreds of entries. This is a major productivity killer. Fix this NOW or there will be consequences!,2026-03-23 12:59:23
TKT-33867,CUST-7177,phone,Technical,Technical > login issue,high,medium,Cannot access my account,"This is absolutely ridiculous! The export feature stopped working yesterday. When I click export, nothing happens. I have a deadline tomorrow and desperately need to export my data. Please fix this ASAP. Fix this NOW or there will be consequences!",2026-04-17 01:34:23
TKT-73846,CUST-2783,chat,Account,Account > email change,high,medium,Need to update email,This is absolutely ridiculous! I need to change the email on my account but there's no option in settings. The old email is being decommissioned by my company. Please help me update this urgently. Fix this NOW or there will be consequences!,2026-03-24 01:19:23
TKT-71213,CUST-4479,chat,Account,Account > password reset,high,medium,Profile update failing,This is absolutely ridiculous! Someone changed my profile information without authorization. My phone number and address are different from what I set. I'm concerned about account security. Fix this NOW or there will be consequences!,2026-03-29 21:14:23
TKT-58904,CUST-4183,web,Security,Security > 2FA issue,high,low,Account hacked - need help,My account was hacked and the attacker changed all my information. I've lost access to everything. This is a nightmare scenario. I need immediate help recovering my account. Thanks for looking into this.,2026-04-08 18:33:23
TKT-18714,CUST-6463,web,Technical,Technical > feature not working,medium,medium,Feature broken,"I'm on the highest tier plan and this is unacceptable. I'm really frustrated at this point. The export feature stopped working yesterday. When I click export, nothing happens. I have a deadline tomorrow and desperately need to export my data. Please fix this ASAP. I really hope this gets resolved soon because I'm at my wit's end.",2026-03-22 04:19:23
TKT-31718,CUST-7310,email,Feature Request,Feature Request > new feature ask,low,medium,Bulk edit functionality,I'm really frustrated at this point. I love your product but it really needs a dark mode option. My eyes strain when using it at night. This is a basic feature that all competitors already have. I really hope this gets resolved soon because I'm at my wit's end.,2026-03-19 05:53:23
TKT-69201,CUST-7551,chat,Refund,Refund > refund denied,low,low,Refund denied unfairly,"Hi, I hope you can help me with this. The refund was processed to the wrong account. I originally paid with credit card but the refund went to a different method. Please correct this immediately. Thank you so much for your help!",2026-04-12 02:42:23
TKT-46368,CUST-7303,web,Billing,Billing > refund request,low,low,Urgent: Duplicate charge on my account,"Hi, I hope you can help me with this. I need to cancel my subscription but the cancel button doesn't work on the website. I've tried multiple times and it keeps giving me an error. Please help me cancel before the next billing cycle. Thank you so much for your help!",2026-04-03 10:00:23
TKT-34132,CUST-2015,phone,Security,Security > data breach concern,high,high,Possible data breach,I'm on the highest tier plan and this is unacceptable. This is absolutely ridiculous! Two-factor authentication isn't working. I'm not receiving the SMS codes and the authenticator app shows invalid codes. I'm locked out of my own account. Fix this NOW or there will be consequences! My company is evaluating other options because of issues like this,2026-03-23 04:06:23
TKT-13538,CUST-3626,chat,Shipping,Shipping > damaged package,low,low,Damaged package,I received the wrong item in my package. I ordered product X but got product Y. I need the correct item shipped immediately and a prepaid return label for this mistake. Thanks for looking into this.,2026-03-18 02:41:23
TKT-25519,CUST-7160,web,Billing,Billing > subscription cancel,medium,medium,Billing discrepancy,I'm really frustrated at this point. There's an unauthorized charge on my account from last week. I didn't authorize this transaction and I want it reversed immediately. This better not affect my credit score. I really hope this gets resolved soon because I'm at my wit's end.,2026-03-22 07:06:23
TKT-54674,CUST-7356,email,Technical,Technical > login issue,high,low,Extremely slow performance,"URGENT - NEED IMMEDIATE ASSISTANCE! The export feature stopped working yesterday. When I click export, nothing happens. I have a deadline tomorrow and desperately need to export my data. Please fix this ASAP. Please respond within the hour!",2026-04-16 21:51:23
TKT-84117,CUST-2381,chat,Account,Account > password reset,low,medium,Password reset not working,I'm really frustrated at this point. I need to change the email on my account but there's no option in settings. The old email is being decommissioned by my company. Please help me update this urgently. I really hope this gets resolved soon because I'm at my wit's end.,2026-04-01 19:45:23
TKT-45558,CUST-9252,email,Security,Security > data breach concern,high,high,2FA not working,I noticed login attempts from countries I've never visited. My account shows sign-ins from Russia and China. I've changed my password but I'm very concerned about a breach. Thanks for looking into this. I recommended your product to colleagues but now I'm embarrassed,2026-03-28 02:04:23
TKT-86815,CUST-4023,phone,Technical,Technical > login issue,low,low,Locked out - need help,"Hi, I hope you can help me with this. The mobile app crashes every time I try to open the dashboard. I'm using iOS 15.2 and this started after the latest update. I've tried reinstalling but nothing works. Thank you so much for your help!",2026-04-13 00:05:23
TKT-83515,CUST-7640,phone,Feature Request,Feature Request > improvement suggestion,low,high,Feature suggestion: dark mode,I'm really frustrated at this point. I love your product but it really needs a dark mode option. My eyes strain when using it at night. This is a basic feature that all competitors already have. I really hope this gets resolved soon because I'm at my wit's end. This is making me look at competitors,2026-04-14 23:14:23
TKT-30457,CUST-9150,chat,Technical,Technical > login issue,high,medium,Extremely slow performance,"This is absolutely ridiculous! The export feature stopped working yesterday. When I click export, nothing happens. I have a deadline tomorrow and desperately need to export my data. Please fix this ASAP. Fix this NOW or there will be consequences!",2026-04-15 11:01:23
TKT-78890,CUST-7235,phone,Account,Account > account locked,low,low,Account locked unexpectedly,"Hi, I hope you can help me with this. Someone changed my profile information without authorization. My phone number and address are different from what I set. I'm concerned about account security. Thank you so much for your help!",2026-04-02 11:07:23
TKT-39605,CUST-1518,chat,Shipping,Shipping > tracking issue,low,low,Where is my order?,The tracking number you provided doesn't work. It says 'invalid tracking ID' on the courier website. How am I supposed to know where my package is? This is poor communication. Thanks for looking into this.,2026-03-31 21:29:23
TKT-94366,CUST-5401,chat,Technical,Technical > login issue,low,low,Extremely slow performance,"Hi, I hope you can help me with this. I've been locked out of my account after entering the correct password. The system says my credentials are invalid but I know they're right. This is extremely frustrating. Thank you so much for your help!",2026-04-12 01:11:23
TKT-32093,CUST-9024,phone,Security,Security > suspicious activity,high,medium,2FA not working,This is absolutely ridiculous! I noticed login attempts from countries I've never visited. My account shows sign-ins from Russia and China. I've changed my password but I'm very concerned about a breach. Fix this NOW or there will be consequences!,2026-03-24 23:15:23
TKT-46107,CUST-7636,chat,Billing,Billing > wrong amount,medium,high,Billing discrepancy,I'm really frustrated at this point. There's an unauthorized charge on my account from last week. I didn't authorize this transaction and I want it reversed immediately. This better not affect my credit score. I really hope this gets resolved soon because I'm at my wit's end. I'm seriously considering cancelling my subscription,2026-03-25 10:12:23
TKT-28921,CUST-7569,web,Account,Account > profile update,low,medium,Need to update email,I'm really frustrated at this point. Someone changed my profile information without authorization. My phone number and address are different from what I set. I'm concerned about account security. I really hope this gets resolved soon because I'm at my wit's end.,2026-04-14 11:11:23
TKT-57051,CUST-8437,web,Billing,Billing > subscription cancel,medium,high,Refund needed ASAP,I'm really frustrated at this point. I need to cancel my subscription but the cancel button doesn't work on the website. I've tried multiple times and it keeps giving me an error. Please help me cancel before the next billing cycle. I really hope this gets resolved soon because I'm at my wit's end. I'm seriously considering cancelling my subscription,2026-03-21 23:44:23
TKT-42763,CUST-6042,chat,Refund,Refund > refund denied,low,low,Refund to wrong account,I was told I'd receive my refund in 5-7 business days. It's been 15 days now. Your customer service keeps giving me different answers. I want a supervisor. Thanks for looking into this.,2026-03-22 12:31:23
TKT-95718,CUST-5389,web,Billing,Billing > wrong amount,low,low,Subscription cancellation issue,I was charged twice for my subscription this month. My account shows two transactions of $447 on 2026-04-05. I need this fixed immediately as it's affecting my bank balance. This is the second time this has happened. Thanks for looking into this.,2026-03-27 14:25:23
TKT-79333,CUST-1099,web,Billing,Billing > wrong amount,high,low,Refund needed ASAP,URGENT - NEED IMMEDIATE ASSISTANCE! The amount charged to my card doesn't match what was advertised. I signed up for the $96 plan but was charged $105. Your pricing is misleading and I want a refund for the difference. Please respond within the hour!,2026-04-13 21:16:23
TKT-57143,CUST-5033,web,Account,Account > profile update,low,medium,Account locked unexpectedly,I'm really frustrated at this point. I've been trying to update my profile picture for days. The upload keeps failing with a generic error. Is there a file size limit that's not documented? I really hope this gets resolved soon because I'm at my wit's end.,2026-04-16 05:42:23
TKT-16281,CUST-8802,phone,Refund,Refund > refund denied,high,low,Refund denied unfairly,URGENT - NEED IMMEDIATE ASSISTANCE! I was only partially refunded. The amount in my account is less than what I was supposed to get back. There's a discrepancy of $308 that needs to be addressed. Please respond within the hour!,2026-03-27 21:42:23
TKT-77265,CUST-8010,email,Shipping,Shipping > tracking issue,low,low,Tracking not working,The tracking number you provided doesn't work. It says 'invalid tracking ID' on the courier website. How am I supposed to know where my package is? This is poor communication. Thanks for looking into this.,2026-03-23 12:55:23
TKT-35377,CUST-8152,chat,Account,Account > account locked,low,high,Account locked unexpectedly,I'm really frustrated at this point. My account has been locked and I don't know why. I haven't violated any terms. I need access for work tomorrow morning. This is a critical issue for my business. I really hope this gets resolved soon because I'm at my wit's end. I'm done with this service. Where do I cancel?,2026-04-14 10:39:23
TKT-16368,CUST-2357,email,Billing,Billing > wrong amount,low,high,Subscription cancellation issue,I need to cancel my subscription but the cancel button doesn't work on the website. I've tried multiple times and it keeps giving me an error. Please help me cancel before the next billing cycle. Thanks for looking into this. My company is evaluating other options because of issues like this,2026-03-20 04:42:23
TKT-60625,CUST-8068,email,Technical,Technical > feature not working,medium,high,Cannot access my account,I'm really frustrated at this point. I've been locked out of my account after entering the correct password. The system says my credentials are invalid but I know they're right. This is extremely frustrating. I really hope this gets resolved soon because I'm at my wit's end. This is the last straw. I want my money back and I'm leaving,2026-04-09 14:07:23
TKT-73193,CUST-1427,email,Feature Request,Feature Request > new feature ask,low,low,Bulk edit functionality,I love your product but it really needs a dark mode option. My eyes strain when using it at night. This is a basic feature that all competitors already have. Thanks for looking into this.,2026-03-23 19:48:23
TKT-71565,CUST-3941,phone,Refund,Refund > refund status,low,high,Refund overdue,"As a premium subscriber, I expect better service. The refund was processed to the wrong account. I originally paid with credit card but the refund went to a different method. Please correct this immediately. Thanks for looking into this. This is the last straw. I want my money back and I'm leaving",2026-04-11 00:58:23
TKT-20002,CUST-4072,email,Technical,Technical > login issue,low,low,Locked out - need help,I've been locked out of my account after entering the correct password. The system says my credentials are invalid but I know they're right. This is extremely frustrating. Thanks for looking into this.,2026-03-23 04:29:23
TKT-57724,CUST-3751,phone,Billing,Billing > wrong amount,high,high,Billing discrepancy,URGENT - NEED IMMEDIATE ASSISTANCE! I was charged twice for my subscription this month. My account shows two transactions of $452 on 2026-04-10. I need this fixed immediately as it's affecting my bank balance. This is the second time this has happened. Please respond within the hour! This is the last straw. I want my money back and I'm leaving,2026-04-14 07:50:23
TKT-72690,CUST-1648,email,Technical,Technical > app crash,high,low,Locked out - need help,URGENT - NEED IMMEDIATE ASSISTANCE! The website is incredibly slow today. Pages take over 30 seconds to load. This is affecting my team's productivity and we're considering switching to a competitor if this continues. Please respond within the hour!,2026-04-16 11:08:23
TKT-68144,CUST-3665,phone,Shipping,Shipping > tracking issue,low,medium,Where is my order?,I'm really frustrated at this point. It's been 3 weeks and my international order still hasn't cleared customs. Your website said 7-10 business days. I need this for an event next week. What's happening? I really hope this gets resolved soon because I'm at my wit's end.,2026-04-12 05:31:23
TKT-42958,CUST-6175,web,Shipping,Shipping > tracking issue,low,low,Damaged package,It's been 3 weeks and my international order still hasn't cleared customs. Your website said 7-10 business days. I need this for an event next week. What's happening? Thanks for looking into this.,2026-04-02 21:19:23
TKT-18530,CUST-6725,email,Refund,Refund > refund denied,high,medium,Refund to wrong account,This is absolutely ridiculous! I was only partially refunded. The amount in my account is less than what I was supposed to get back. There's a discrepancy of $365 that needs to be addressed. Fix this NOW or there will be consequences!,2026-03-22 02:40:23
TKT-59301,CUST-7267,phone,Feature Request,Feature Request > integration request,low,low,Dashboard customization,"Hi, I hope you can help me with this. Could you add integration with Slack? Our team uses Slack for everything and having notifications there would improve our workflow significantly. Thank you so much for your help!",2026-04-11 13:42:23
TKT-55535,CUST-6623,chat,Security,Security > 2FA issue,high,low,2FA not working,URGENT - NEED IMMEDIATE ASSISTANCE! I noticed login attempts from countries I've never visited. My account shows sign-ins from Russia and China. I've changed my password but I'm very concerned about a breach. Please respond within the hour!,2026-03-27 09:30:23
TKT-98575,CUST-6856,email,Security,Security > data breach concern,high,medium,Account hacked - need help,I'm really frustrated at this point. I received a security alert about a password change I didn't make. I still have access but I'm worried someone else has my credentials. What should I do? I really hope this gets resolved soon because I'm at my wit's end.,2026-03-21 22:10:23
TKT-78635,CUST-4182,phone,Technical,Technical > app crash,low,high,Locked out - need help,"Hi, I hope you can help me with this. The export feature stopped working yesterday. When I click export, nothing happens. I have a deadline tomorrow and desperately need to export my data. Please fix this ASAP. Thank you so much for your help! My company is evaluating other options because of issues like this",2026-03-29 01:12:23
TKT-34022,CUST-9057,phone,Feature Request,Feature Request > new feature ask,high,low,Integration request: Slack,URGENT - NEED IMMEDIATE ASSISTANCE! Could you add integration with Slack? Our team uses Slack for everything and having notifications there would improve our workflow significantly. Please respond within the hour!,2026-04-13 21:35:23
TKT-49227,CUST-4543,chat,Technical,Technical > slow performance,high,medium,App keeps crashing,"This is absolutely ridiculous! The export feature stopped working yesterday. When I click export, nothing happens. I have a deadline tomorrow and desperately need to export my data. Please fix this ASAP. Fix this NOW or there will be consequences!",2026-03-24 21:05:23
TKT-79514,CUST-2308,chat,General Inquiry,General Inquiry > misc,low,low,Student discount available?,"Hi, I hope you can help me with this. Do you offer educational discounts? I'm a student and would like to use this for my thesis project but the regular pricing is out of my budget. Thank you so much for your help!",2026-04-05 16:58:23
TKT-58387,CUST-7373,phone,Billing,Billing > refund request,medium,medium,Refund needed ASAP,I'm really frustrated at this point. I was charged twice for my subscription this month. My account shows two transactions of $70 on 2026-04-07. I need this fixed immediately as it's affecting my bank balance. This is the second time this has happened. I really hope this gets resolved soon because I'm at my wit's end.,2026-04-03 07:55:23
TKT-47137,CUST-8383,phone,Security,Security > 2FA issue,high,low,Possible data breach,"Hi, I hope you can help me with this. I noticed login attempts from countries I've never visited. My account shows sign-ins from Russia and China. I've changed my password but I'm very concerned about a breach. Thank you so much for your help!",2026-03-29 10:17:23
TKT-85446,CUST-7705,phone,General Inquiry,General Inquiry > misc,low,medium,API documentation,I'm really frustrated at this point. What's the difference between the Pro and Enterprise plans? The website isn't clear on the specific features. I need a detailed comparison. I really hope this gets resolved soon because I'm at my wit's end.,2026-03-27 01:17:23
TKT-76807,CUST-1244,web,Technical,Technical > login issue,medium,medium,Extremely slow performance,I'm really frustrated at this point. I can't log into my account for the past 3 hours. The password reset email never arrives. I've checked spam folder multiple times. I need to access my data urgently for a presentation. I really hope this gets resolved soon because I'm at my wit's end.,2026-03-20 15:48:23
TKT-48475,CUST-2961,web,Feature Request,Feature Request > improvement suggestion,low,medium,Bulk edit functionality,I'm really frustrated at this point. Please add bulk edit capabilities. Editing items one by one is incredibly time-consuming when you have hundreds of entries. This is a major productivity killer. I really hope this gets resolved soon because I'm at my wit's end.,2026-04-10 15:02:23
TKT-80300,CUST-2570,web,General Inquiry,General Inquiry > misc,high,medium,API documentation,This is absolutely ridiculous! What's the difference between the Pro and Enterprise plans? The website isn't clear on the specific features. I need a detailed comparison. Fix this NOW or there will be consequences!,2026-04-15 00:05:23
TKT-50554,CUST-6697,web,Refund,Refund > partial refund,low,low,Refund to wrong account,I was told I'd receive my refund in 5-7 business days. It's been 15 days now. Your customer service keeps giving me different answers. I want a supervisor. Thanks for looking into this.,2026-03-24 15:00:23
TKT-10628,CUST-8030,email,Billing,Billing > subscription cancel,high,high,Refund needed ASAP,This is absolutely ridiculous! There's an unauthorized charge on my account from last week. I didn't authorize this transaction and I want it reversed immediately. This better not affect my credit score. Fix this NOW or there will be consequences! This is making me look at competitors,2026-04-15 01:09:23
TKT-63378,CUST-2372,phone,Technical,Technical > slow performance,low,low,Feature broken,The website is incredibly slow today. Pages take over 30 seconds to load. This is affecting my team's productivity and we're considering switching to a competitor if this continues. Thanks for looking into this.,2026-03-20 05:28:23
TKT-99432,CUST-3376,chat,Technical,Technical > feature not working,medium,medium,Extremely slow performance,"I'm really frustrated at this point. The export feature stopped working yesterday. When I click export, nothing happens. I have a deadline tomorrow and desperately need to export my data. Please fix this ASAP. I really hope this gets resolved soon because I'm at my wit's end.",2026-03-27 15:09:23
TKT-54772,CUST-2721,chat,Account,Account > profile update,low,low,Profile changed without permission,Someone changed my profile information without authorization. My phone number and address are different from what I set. I'm concerned about account security. Thanks for looking into this.,2026-03-30 07:19:23
TKT-66992,CUST-2453,phone,Technical,Technical > app crash,low,low,Feature broken,"The export feature stopped working yesterday. When I click export, nothing happens. I have a deadline tomorrow and desperately need to export my data. Please fix this ASAP. Thanks for looking into this.",2026-03-26 20:54:23
TKT-88246,CUST-5587,web,Shipping,Shipping > damaged package,low,low,International shipping delay,It's been 3 weeks and my international order still hasn't cleared customs. Your website said 7-10 business days. I need this for an event next week. What's happening? Thanks for looking into this.,2026-03-24 03:58:23
TKT-98969,CUST-8662,phone,Technical,Technical > app crash,medium,medium,Locked out - need help,I'm really frustrated at this point. I've been locked out of my account after entering the correct password. The system says my credentials are invalid but I know they're right. This is extremely frustrating. I really hope this gets resolved soon because I'm at my wit's end.,2026-04-09 23:57:23
TKT-50424,CUST-2897,web,Security,Security > suspicious activity,high,high,2FA not working,I'm really frustrated at this point. Two-factor authentication isn't working. I'm not receiving the SMS codes and the authenticator app shows invalid codes. I'm locked out of my own account. I really hope this gets resolved soon because I'm at my wit's end. I'm seriously considering cancelling my subscription,2026-04-02 13:41:23
TKT-85057,CUST-1269,phone,Security,Security > account hacked,high,medium,Suspicious login activity,This is absolutely ridiculous! My account was hacked and the attacker changed all my information. I've lost access to everything. This is a nightmare scenario. I need immediate help recovering my account. Fix this NOW or there will be consequences!,2026-04-06 15:47:23
TKT-56892,CUST-6427,phone,Refund,Refund > refund status,low,high,Partial refund received,I submitted a refund request 2 weeks ago and haven't heard back. The status page just says 'processing'. How long does this take? I need that money back. Thanks for looking into this. I've been a loyal customer for 4 years but this is testing my patience,2026-03-22 05:52:23
TKT-87636,CUST-8936,web,Security,Security > suspicious activity,high,medium,2FA not working,This is absolutely ridiculous! My account was hacked and the attacker changed all my information. I've lost access to everything. This is a nightmare scenario. I need immediate help recovering my account. Fix this NOW or there will be consequences!,2026-04-02 01:28:23
TKT-85007,CUST-3609,chat,Shipping,Shipping > wrong item,low,low,Damaged package,"Hi, I hope you can help me with this. The tracking number you provided doesn't work. It says 'invalid tracking ID' on the courier website. How am I supposed to know where my package is? This is poor communication. Thank you so much for your help!",2026-04-06 20:03:23
TKT-29958,CUST-1747,phone,Feature Request,Feature Request > new feature ask,low,medium,Bulk edit functionality,I'm really frustrated at this point. The mobile app needs offline functionality. I travel frequently and lose connection often. Being able to work offline and sync later would be a game changer. I really hope this gets resolved soon because I'm at my wit's end.,2026-03-23 16:09:23
TKT-21623,CUST-3515,email,Billing,Billing > wrong amount,high,medium,Refund needed ASAP,This is absolutely ridiculous! I've been trying to get a refund for over two weeks now. I cancelled my subscription within the trial period but still got charged. This is unacceptable customer service. Fix this NOW or there will be consequences!,2026-03-30 15:29:23
TKT-96333,CUST-1761,email,Account,Account > profile update,high,high,Profile changed without permission,URGENT - NEED IMMEDIATE ASSISTANCE! My account has been locked and I don't know why. I haven't violated any terms. I need access for work tomorrow morning. This is a critical issue for my business. Please respond within the hour! I recommended your product to colleagues but now I'm embarrassed,2026-03-24 22:53:23
TKT-71323,CUST-3139,chat,Billing,Billing > duplicate charge,medium,high,Subscription cancellation issue,I'm really frustrated at this point. I need to cancel my subscription but the cancel button doesn't work on the website. I've tried multiple times and it keeps giving me an error. Please help me cancel before the next billing cycle. I really hope this gets resolved soon because I'm at my wit's end. This is making me look at competitors,2026-03-26 06:23:23
TKT-61620,CUST-9000,web,General Inquiry,General Inquiry > misc,high,high,Student discount available?,"Our company has a corporate account with you. URGENT - NEED IMMEDIATE ASSISTANCE! I'm evaluating your product for my company. Can you provide information about enterprise pricing and volume discounts? We're looking at 50+ seats. Please respond within the hour! If this isn't resolved, I'm switching to CompetitorX",2026-03-24 06:08:23
TKT-80942,CUST-3231,email,Feature Request,Feature Request > improvement suggestion,low,low,Feature suggestion: dark mode,"Hi, I hope you can help me with this. The mobile app needs offline functionality. I travel frequently and lose connection often. Being able to work offline and sync later would be a game changer. Thank you so much for your help!",2026-03-30 10:30:23
TKT-23447,CUST-5677,chat,Technical,Technical > login issue,low,high,Extremely slow performance,"Hi, I hope you can help me with this. I can't log into my account for the past 3 hours. The password reset email never arrives. I've checked spam folder multiple times. I need to access my data urgently for a presentation. Thank you so much for your help! I've been a loyal customer for 2 years but this is testing my patience",2026-04-14 11:42:23
TKT-54951,CUST-1609,phone,Feature Request,Feature Request > improvement suggestion,low,low,Integration request: Slack,"Hi, I hope you can help me with this. I love your product but it really needs a dark mode option. My eyes strain when using it at night. This is a basic feature that all competitors already have. Thank you so much for your help!",2026-04-16 11:05:23
TKT-88848,CUST-4020,phone,Technical,Technical > feature not working,high,medium,Extremely slow performance,This is absolutely ridiculous! The website is incredibly slow today. Pages take over 30 seconds to load. This is affecting my team's productivity and we're considering switching to a competitor if this continues. Fix this NOW or there will be consequences!,2026-04-07 00:14:23
TKT-94197,CUST-5645,phone,General Inquiry,General Inquiry > misc,high,low,API documentation,URGENT - NEED IMMEDIATE ASSISTANCE! What's the difference between the Pro and Enterprise plans? The website isn't clear on the specific features. I need a detailed comparison. Please respond within the hour!,2026-03-19 14:55:23
TKT-62621,CUST-3474,web,Account,Account > email change,low,low,Profile update failing,I need to change the email on my account but there's no option in settings. The old email is being decommissioned by my company. Please help me update this urgently. Thanks for looking into this.,2026-04-05 20:20:23
TKT-24049,CUST-2970,phone,Technical,Technical > slow performance,medium,medium,Extremely slow performance,I'm really frustrated at this point. I can't log into my account for the past 3 hours. The password reset email never arrives. I've checked spam folder multiple times. I need to access my data urgently for a presentation. I really hope this gets resolved soon because I'm at my wit's end.,2026-04-05 02:46:23
TKT-94281,CUST-7363,phone,Feature Request,Feature Request > integration request,low,medium,Feature suggestion: dark mode,I'm really frustrated at this point. I'd like to see more customization options for the dashboard. Every team has different needs and a one-size-fits-all approach doesn't work for us. I really hope this gets resolved soon because I'm at my wit's end.,2026-03-28 23:26:23
TKT-75659,CUST-7834,web,Technical,Technical > login issue,medium,medium,App keeps crashing,I'm really frustrated at this point. The website is incredibly slow today. Pages take over 30 seconds to load. This is affecting my team's productivity and we're considering switching to a competitor if this continues. I really hope this gets resolved soon because I'm at my wit's end.,2026-03-18 08:46:23
TKT-58335,CUST-8206,web,Feature Request,Feature Request > integration request,low,low,Bulk edit functionality,The mobile app needs offline functionality. I travel frequently and lose connection often. Being able to work offline and sync later would be a game changer. Thanks for looking into this.,2026-03-18 11:25:23
TKT-81275,CUST-1427,chat,Account,Account > password reset,high,medium,Profile changed without permission,This is absolutely ridiculous! Someone changed my profile information without authorization. My phone number and address are different from what I set. I'm concerned about account security. Fix this NOW or there will be consequences!,2026-03-19 09:18:23
